GENE_ID	CONTIG_ID	TYPE	LENGTH	START	END	STRAND	START_CODON	STOP_CODON	GC%	OG	ANNOTATION
1115511.PRJDB13.EA14781_003_00620	1115511.PRJDB13.BBMY01000003	CDS	351	57175	57525	-	Yes	Yes	51.2820512821	-	annotation tax_id_proj_id=1115511.PRJDB13 project_id=PRJDB13 cog=- GI=689835779 protein_id=GAL52381.1 
1115511.PRJDB13.EA14781_003_00630	1115511.PRJDB13.BBMY01000003	CDS	468	57667	58134	+	Yes	Yes	37.8205128205	-	annotation tax_id_proj_id=1115511.PRJDB13 project_id=PRJDB13 cog=- GI=689835780 protein_id=GAL52382.1 
1115511.PRJDB13.EA14781_003_00640	1115511.PRJDB13.BBMY01000003	CDS	609	58085	58693	-	Yes	Yes	42.3645320197	-	annotation tax_id_proj_id=1115511.PRJDB13 project_id=PRJDB13 cog=- GI=689835781 protein_id=GAL52383.1 
1115511.PRJDB13.EA14781_003_00650	1115511.PRJDB13.BBMY01000003	CDS	528	58892	59419	-	Yes	Yes	49.8106060606	-	annotation tax_id_proj_id=1115511.PRJDB13 project_id=PRJDB13 cog=- GI=689835782 protein_id=GAL52384.1 
1115511.PRJDB13.EA14781_003_00660	1115511.PRJDB13.BBMY01000003	CDS	342	59524	59865	+	Yes	Yes	45.9064327485	-	annotation tax_id_proj_id=1115511.PRJDB13 project_id=PRJDB13 cog=- GI=689835783 protein_id=GAL52385.1 
1115511.PRJDB13.EA14781_177_00060	1115511.PRJDB13.BBMY01000177	CDS	333	4255	4587	-	Yes	Yes	44.1441441441	-	annotation tax_id_proj_id=1115511.PRJDB13 project_id=PRJDB13 cog=- GI=689831471 protein_id=GAL56191.1 
1115511.PRJDB13.EA14781_177_00070	1115511.PRJDB13.BBMY01000177	CDS	297	4868	5164	-	Yes	Yes	42.7609427609	-	annotation tax_id_proj_id=1115511.PRJDB13 project_id=PRJDB13 cog=- GI=689831472 protein_id=GAL56192.1 
1115511.PRJDB13.EA14781_177_00080	1115511.PRJDB13.BBMY01000177	CDS	1107	5172	6278	-	Yes	Yes	38.7533875339	-	annotation tax_id_proj_id=1115511.PRJDB13 project_id=PRJDB13 cog=- GI=689831473 protein_id=GAL56193.1 
1115511.PRJDB13.EA14781_177_00090	1115511.PRJDB13.BBMY01000177	CDS	486	6402	6888	-	Yes	Yes	40.1234567901	-	annotation tax_id_proj_id=1115511.PRJDB13 project_id=PRJDB13 cog=- GI=689831474 protein_id=GAL56194.1 
1115511.PRJDB13.EA14781_013_00250	1115511.PRJDB13.BBMY01000013	CDS	540	29568	30107	+	Yes	Yes	37.7777777778	-	annotation tax_id_proj_id=1115511.PRJDB13 project_id=PRJDB13 cog=- GI=689835259 protein_id=GAL52837.1 
1115511.PRJDB13.EA14781_013_00260	1115511.PRJDB13.BBMY01000013	CDS	531	30145	30675	+	Yes	Yes	42.7495291902	-	annotation tax_id_proj_id=1115511.PRJDB13 project_id=PRJDB13 cog=- GI=689835260 protein_id=GAL52838.1 
1115511.PRJDB13.EA14781_013_00270	1115511.PRJDB13.BBMY01000013	CDS	642	30672	31313	+	Yes	Yes	41.5887850467	-	annotation tax_id_proj_id=1115511.PRJDB13 project_id=PRJDB13 cog=- GI=689835261 protein_id=GAL52839.1 
1115511.PRJDB13.EA14781_013_00280	1115511.PRJDB13.BBMY01000013	CDS	297	31770	32066	-	Yes	Yes	44.7811447811	-	annotation tax_id_proj_id=1115511.PRJDB13 project_id=PRJDB13 cog=- GI=689835262 protein_id=GAL52840.1 
1115511.PRJDB13.EA14781_013_00290	1115511.PRJDB13.BBMY01000013	CDS	318	32125	32442	-	Yes	Yes	42.4528301887	-	annotation tax_id_proj_id=1115511.PRJDB13 project_id=PRJDB13 cog=- GI=689835263 protein_id=GAL52841.1 
1115511.PRJDB13.EA14781_052_00110	1115511.PRJDB13.BBMY01000052	CDS	1707	8379	10085	+	Yes	Yes	40.7732864675	-	annotation tax_id_proj_id=1115511.PRJDB13 project_id=PRJDB13 cog=- GI=689833695 protein_id=GAL54269.1 
1115511.PRJDB13.EA14781_052_00120	1115511.PRJDB13.BBMY01000052	CDS	597	10178	10774	-	Yes	Yes	46.3986599665	-	annotation tax_id_proj_id=1115511.PRJDB13 project_id=PRJDB13 cog=- GI=689833696 protein_id=GAL54270.1 
1115511.PRJDB13.EA14781_097_00050	1115511.PRJDB13.BBMY01000097	CDS	261	2898	3158	-	Yes	Yes	46.3601532567	-	annotation tax_id_proj_id=1115511.PRJDB13 project_id=PRJDB13 cog=- GI=689832644 protein_id=GAL55187.1 
1115511.PRJDB13.EA14781_097_00060	1115511.PRJDB13.BBMY01000097	CDS	372	3277	3648	+	Yes	Yes	47.8494623656	-	annotation tax_id_proj_id=1115511.PRJDB13 project_id=PRJDB13 cog=- GI=689832645 protein_id=GAL55188.1 
1115511.PRJDB13.EA14781_097_00070	1115511.PRJDB13.BBMY01000097	CDS	489	4003	4491	+	Yes	Yes	43.5582822086	-	annotation tax_id_proj_id=1115511.PRJDB13 project_id=PRJDB13 cog=- GI=689832646 protein_id=GAL55189.1 
1115511.PRJDB13.EA14781_020_00090	1115511.PRJDB13.BBMY01000020	CDS	1269	10782	12050	-	Yes	Yes	33.8849487786	-	annotation tax_id_proj_id=1115511.PRJDB13 project_id=PRJDB13 cog=- GI=689834836 protein_id=GAL53219.1 
1115511.PRJDB13.EA14781_075_00220	1115511.PRJDB13.BBMY01000075	CDS	378	22873	23250	-	Yes	Yes	34.9206349206	-	annotation tax_id_proj_id=1115511.PRJDB13 project_id=PRJDB13 cog=- GI=689833147 protein_id=GAL54775.1 
1115511.PRJDB13.EA14781_075_00230	1115511.PRJDB13.BBMY01000075	CDS	447	23328	23774	-	Yes	Yes	34.0044742729	-	annotation tax_id_proj_id=1115511.PRJDB13 project_id=PRJDB13 cog=- GI=689833148 protein_id=GAL54776.1 
1115511.PRJDB13.EA14781_024_00240	1115511.PRJDB13.BBMY01000024	CDS	198	26367	26564	-	Yes	Yes	46.9696969697	-	annotation tax_id_proj_id=1115511.PRJDB13 project_id=PRJDB13 cog=- GI=689834656 protein_id=GAL53410.1 
1115511.PRJDB13.EA14781_024_00250	1115511.PRJDB13.BBMY01000024	CDS	489	26584	27072	-	Yes	Yes	53.3742331288	-	annotation tax_id_proj_id=1115511.PRJDB13 project_id=PRJDB13 cog=- GI=689834657 protein_id=GAL53411.1 
1115511.PRJDB13.EA14781_049_00210	1115511.PRJDB13.BBMY01000049	CDS	180	19449	19628	-	Yes	Yes	55	-	annotation tax_id_proj_id=1115511.PRJDB13 project_id=PRJDB13 cog=- GI=689833795 protein_id=GAL54187.1 
1115511.PRJDB13.EA14781_049_00220	1115511.PRJDB13.BBMY01000049	CDS	207	20125	20331	+	Yes	Yes	47.3429951691	-	annotation tax_id_proj_id=1115511.PRJDB13 project_id=PRJDB13 cog=- GI=689833796 protein_id=GAL54188.1 
1115511.PRJDB13.EA14781_079_t0070	1115511.PRJDB13.BBMY01000079	tRNA	72	9317	9388	+	Yes	Yes	58.3333333333	tRNA	annotation tax_id_proj_id=1115511.PRJDB13 product=tRNA-Gln project_id=PRJDB13 cog=- 
1115511.PRJDB13.EA14781_069_t0010	1115511.PRJDB13.BBMY01000069	tRNA	85	7937	8021	+	Yes	Yes	61.1764705882	tRNA	annotation tax_id_proj_id=1115511.PRJDB13 product=tRNA-Ser project_id=PRJDB13 cog=- 
1115511.PRJDB13.EA14781_069_00130	1115511.PRJDB13.BBMY01000069	CDS	687	8483	9169	-	Yes	Yes	43.0858806405	-	annotation tax_id_proj_id=1115511.PRJDB13 project_id=PRJDB13 cog=- GI=689833294 protein_id=GAL54627.1 
1115511.PRJDB13.EA14781_119_00010	1115511.PRJDB13.BBMY01000119	CDS	492	0	494	-	No	No	43.2926829268	-	annotation tax_id_proj_id=1115511.PRJDB13 project_id=PRJDB13 cog=- GI=689832209 protein_id=GAL55564.1 
1115511.PRJDB13.EA14781_148_00100	1115511.PRJDB13.BBMY01000148	CDS	384	10415	10798	+	Yes	Yes	42.4479166667	-	annotation tax_id_proj_id=1115511.PRJDB13 project_id=PRJDB13 cog=- GI=689831793 protein_id=GAL55931.1 
1115511.PRJDB13.EA14781_083_00135	1115511.PRJDB13.BBMY01000083	CDS	999	19770	20768	+	Yes	Yes	46.2462462462	-	annotation tax_id_proj_id=1115511.PRJDB13 project_id=PRJDB13 cog=- GI=689832976 protein_id=GAL54923.1 
1115511.PRJDB13.EA14781_038_00270	1115511.PRJDB13.BBMY01000038	CDS	414	25288	25701	-	Yes	Yes	37.4396135266	-	annotation tax_id_proj_id=1115511.PRJDB13 project_id=PRJDB13 cog=- GI=689834162 protein_id=GAL53865.1 
1115511.PRJDB13.EA14781_038_00280	1115511.PRJDB13.BBMY01000038	CDS	339	25793	26131	-	Yes	Yes	34.5132743363	-	annotation tax_id_proj_id=1115511.PRJDB13 project_id=PRJDB13 cog=- GI=689834163 protein_id=GAL53866.1 
1115511.PRJDB13.EA14781_038_00290	1115511.PRJDB13.BBMY01000038	CDS	465	26322	26786	+	Yes	Yes	30.752688172	-	annotation tax_id_proj_id=1115511.PRJDB13 project_id=PRJDB13 cog=- GI=689834164 protein_id=GAL53867.1 
1115511.PRJDB13.EA14781_038_00300	1115511.PRJDB13.BBMY01000038	CDS	1038	26783	27820	-	Yes	Yes	35.0674373796	-	annotation tax_id_proj_id=1115511.PRJDB13 project_id=PRJDB13 cog=- GI=689834165 protein_id=GAL53868.1 
1115511.PRJDB13.EA14781_038_00310	1115511.PRJDB13.BBMY01000038	CDS	777	27813	28589	-	Yes	Yes	32.6898326898	-	annotation tax_id_proj_id=1115511.PRJDB13 project_id=PRJDB13 cog=- GI=689834166 protein_id=GAL53869.1 
1115511.PRJDB13.EA14781_157_00020	1115511.PRJDB13.BBMY01000157	CDS	576	1235	1810	+	Yes	Yes	51.0416666667	-	annotation product=Ves protein gene=ves tax_id_proj_id=1115511.PRJDB13 cog=- project_id=PRJDB13 protein_id=GAL56023.1 GI=689831663 
1115511.PRJDB13.EA14781_016_00610	1115511.PRJDB13.BBMY01000016	CDS	531	57628	58158	-	Yes	Yes	53.483992467	-	annotation tax_id_proj_id=1115511.PRJDB13 project_id=PRJDB13 cog=- GI=689835097 protein_id=GAL53052.1 
1115511.PRJDB13.EA14781_016_00620	1115511.PRJDB13.BBMY01000016	CDS	123	58168	58290	-	Yes	Yes	57.7235772358	-	annotation tax_id_proj_id=1115511.PRJDB13 project_id=PRJDB13 cog=- GI=689835098 protein_id=GAL53053.1 
1115511.PRJDB13.EA14781_157_00030	1115511.PRJDB13.BBMY01000157	CDS	828	1882	2709	-	Yes	Yes	48.9130434783	-	annotation product=NH(3)-dependent NAD(+) synthetase gene=nadE tax_id_proj_id=1115511.PRJDB13 cog=- project_id=PRJDB13 protein_id=GAL56024.1 GI=689831664 
1115511.PRJDB13.EA14781_016_00630	1115511.PRJDB13.BBMY01000016	CDS	354	58294	58650	-	No	No	63.5593220339	-	annotation tax_id_proj_id=1115511.PRJDB13 project_id=PRJDB13 cog=- GI=689835099 protein_id=GAL53054.1 
1115511.PRJDB13.EA14781_157_00040	1115511.PRJDB13.BBMY01000157	CDS	339	2908	3246	+	Yes	Yes	50.7374631268	-	annotation product=osmotically-inducible lipoprotein E gene=osmE tax_id_proj_id=1115511.PRJDB13 cog=- project_id=PRJDB13 protein_id=GAL56025.1 GI=689831665 
1115511.PRJDB13.EA14781_154_00010	1115511.PRJDB13.BBMY01000154	CDS	186	0	190	+	No	No	37.0967741935	-	annotation tax_id_proj_id=1115511.PRJDB13 project_id=PRJDB13 cog=- GI=689831704 protein_id=GAL55987.1 
1115511.PRJDB13.EA14781_154_00020	1115511.PRJDB13.BBMY01000154	CDS	921	224	1144	+	Yes	Yes	38.2193268187	-	annotation tax_id_proj_id=1115511.PRJDB13 project_id=PRJDB13 cog=- GI=689831705 protein_id=GAL55988.1 
1115511.PRJDB13.EA14781_154_00030	1115511.PRJDB13.BBMY01000154	CDS	303	1311	1613	+	Yes	Yes	32.0132013201	-	annotation tax_id_proj_id=1115511.PRJDB13 project_id=PRJDB13 cog=- GI=689831706 protein_id=GAL55989.1 
1115511.PRJDB13.EA14781_154_00040	1115511.PRJDB13.BBMY01000154	CDS	777	1774	2550	-	Yes	Yes	43.8867438867	-	annotation product=hypothetical protein YafT gene=yafT tax_id_proj_id=1115511.PRJDB13 cog=- project_id=PRJDB13 protein_id=GAL55990.1 GI=689831707 
1115511.PRJDB13.EA14781_154_t0010	1115511.PRJDB13.BBMY01000154	tRNA	74	2877	2950	-	Yes	Yes	63.5135135135	tRNA	annotation tax_id_proj_id=1115511.PRJDB13 product=tRNA-Asp project_id=PRJDB13 cog=- 
1115511.PRJDB13.EA14781_034_00010	1115511.PRJDB13.BBMY01000034	CDS	174	0	178	+	No	No	47.1264367816	-	annotation tax_id_proj_id=1115511.PRJDB13 project_id=PRJDB13 cog=- GI=689834282 protein_id=GAL53708.1 
1115511.PRJDB13.EA14781_154_00050	1115511.PRJDB13.BBMY01000154	CDS	732	3083	3814	-	Yes	Yes	50.1366120219	-	annotation product=DNA polymerase III subunit epsilon gene=dnaQ tax_id_proj_id=1115511.PRJDB13 cog=- project_id=PRJDB13 protein_id=GAL55991.1 GI=689831708 
1115511.PRJDB13.EA14781_141_t0010	1115511.PRJDB13.BBMY01000141	tRNA	73	5222	5294	-	Yes	Yes	52.0547945205	tRNA	annotation tax_id_proj_id=1115511.PRJDB13 product=tRNA-Asn project_id=PRJDB13 cog=- 
1115511.PRJDB13.EA14781_154_00060	1115511.PRJDB13.BBMY01000154	CDS	468	3879	4346	+	Yes	Yes	50	-	annotation product=ribonuclease HI gene=rnhA tax_id_proj_id=1115511.PRJDB13 cog=- project_id=PRJDB13 protein_id=GAL55992.1 GI=689831709 
1115511.PRJDB13.EA14781_154_00070	1115511.PRJDB13.BBMY01000154	CDS	723	4343	5065	-	Yes	Yes	49.7925311203	-	annotation product=hypothetical protein YafS gene=yafS tax_id_proj_id=1115511.PRJDB13 cog=- project_id=PRJDB13 protein_id=GAL55993.1 GI=689831710 
1115511.PRJDB13.EA14781_154_00080	1115511.PRJDB13.BBMY01000154	CDS	756	5099	5854	+	Yes	Yes	41.1375661376	-	annotation product=hydroxyacylglutathione hydrolase gene=gloB tax_id_proj_id=1115511.PRJDB13 cog=- project_id=PRJDB13 protein_id=GAL55994.1 GI=689831711 
1115511.PRJDB13.EA14781_154_00100	1115511.PRJDB13.BBMY01000154	CDS	801	7471	8271	-	Yes	Yes	50.4369538077	-	annotation product=hypothetical protein YafD gene=yafD tax_id_proj_id=1115511.PRJDB13 cog=- project_id=PRJDB13 protein_id=GAL55996.1 GI=689831713 
1115511.PRJDB13.EA14781_191_t0010	1115511.PRJDB13.BBMY01000191	tRNA	71	2519	2589	+	Yes	Yes	53.5211267606	tRNA	annotation tax_id_proj_id=1115511.PRJDB13 product=tRNA-Gly project_id=PRJDB13 cog=- 
1115511.PRJDB13.EA14781_154_00090	1115511.PRJDB13.BBMY01000154	CDS	1359	5926	7284	+	Yes	Yes	51.2141280353	-	annotation product=membrane-bound lytic murein transglycosylase D gene=mltD tax_id_proj_id=1115511.PRJDB13 cog=- project_id=PRJDB13 protein_id=GAL55995.1 GI=689831712 
1115511.PRJDB13.EA14781_157_00010	1115511.PRJDB13.BBMY01000157	CDS	486	540	1025	+	Yes	Yes	48.7654320988	-	annotation product=chaperon protein Spy gene=spy tax_id_proj_id=1115511.PRJDB13 cog=- project_id=PRJDB13 protein_id=GAL56022.1 GI=689831662 
1115511.PRJDB13.EA14781_144_00010	1115511.PRJDB13.BBMY01000144	CDS	921	90	1010	+	Yes	Yes	50.4885993485	-	annotation product=lipid A biosynthesis lauroyl acyltransferase gene=htrB tax_id_proj_id=1115511.PRJDB13 cog=- project_id=PRJDB13 protein_id=GAL55882.1 GI=689831834 
1115511.PRJDB13.EA14781_144_00020	1115511.PRJDB13.BBMY01000144	CDS	1227	1188	2414	+	Yes	Yes	51.5077424613	-	annotation product=multidrug resistance protein MdtG gene=mdtG tax_id_proj_id=1115511.PRJDB13 cog=- project_id=PRJDB13 protein_id=GAL55883.1 GI=689831835 
1115511.PRJDB13.EA14781_144_00030	1115511.PRJDB13.BBMY01000144	CDS	375	2497	2871	+	Yes	Yes	51.2	-	annotation product=acidic protein MsyB gene=msyB tax_id_proj_id=1115511.PRJDB13 cog=- project_id=PRJDB13 protein_id=GAL55884.1 GI=689831836 
1115511.PRJDB13.EA14781_144_00040	1115511.PRJDB13.BBMY01000144	CDS	228	2872	3099	-	Yes	Yes	50.8771929825	-	annotation product=hypothetical protein YceK gene=yceK tax_id_proj_id=1115511.PRJDB13 cog=- project_id=PRJDB13 protein_id=GAL55885.1 GI=689831837 
1115511.PRJDB13.EA14781_144_00050	1115511.PRJDB13.BBMY01000144	CDS	2544	3247	5790	-	Yes	Yes	54.5597484277	-	annotation product=glucans biosynthesis glucosyltransferase H gene=mdoH tax_id_proj_id=1115511.PRJDB13 cog=- project_id=PRJDB13 protein_id=GAL55886.1 GI=689831838 
1115511.PRJDB13.EA14781_144_00060	1115511.PRJDB13.BBMY01000144	CDS	1554	5783	7336	-	Yes	Yes	48.8416988417	-	annotation product=glucans biosynthesis protein G gene=mdoG tax_id_proj_id=1115511.PRJDB13 cog=- project_id=PRJDB13 protein_id=GAL55887.1 GI=689831839 
1115511.PRJDB13.EA14781_144_00070	1115511.PRJDB13.BBMY01000144	CDS	1158	7713	8870	+	Yes	Yes	41.7962003454	-	annotation product=glucan biosynthesis protein MdoC gene=mdoC tax_id_proj_id=1115511.PRJDB13 cog=- project_id=PRJDB13 protein_id=GAL55888.1 GI=689831840 
1115511.PRJDB13.EA14781_144_00080	1115511.PRJDB13.BBMY01000144	CDS	1431	8878	10308	-	Yes	Yes	49.7554157932	-	annotation product=hypothetical protein YmdC gene=ymdC tax_id_proj_id=1115511.PRJDB13 cog=- project_id=PRJDB13 protein_id=GAL55889.1 GI=689831841 
1115511.PRJDB13.EA14781_144_00090	1115511.PRJDB13.BBMY01000144	CDS	534	10301	10834	-	Yes	Yes	50.936329588	-	annotation product=O-acetyl-ADP-ribose deacetylase YmdB gene=ymdB tax_id_proj_id=1115511.PRJDB13 cog=- project_id=PRJDB13 protein_id=GAL55890.1 GI=689831842 
1115511.PRJDB13.EA14781_144_00100	1115511.PRJDB13.BBMY01000144	CDS	144	10930	11077	-	No	No	41.6666666667	-	annotation product=hypothetical protein YmdA gene=ymdA tax_id_proj_id=1115511.PRJDB13 cog=- project_id=PRJDB13 protein_id=GAL55891.1 GI=689831843 
1115511.PRJDB13.EA14781_188_r0010	1115511.PRJDB13.BBMY01000188	rRNA	1542	140	1681	+	Yes	Yes	54.4098573281	rRNA	annotation tax_id_proj_id=1115511.PRJDB13 product=16S ribosomal RNA project_id=PRJDB13 cog=- 
1115511.PRJDB13.EA14781_187_00010	1115511.PRJDB13.BBMY01000187	CDS	1029	128	1156	+	Yes	Yes	46.3556851312	-	annotation product=UDP-N-acetylenolpyruvoylglucosamine reductase gene=murB tax_id_proj_id=1115511.PRJDB13 cog=- project_id=PRJDB13 protein_id=GAL56251.1 GI=689831388 
1115511.PRJDB13.EA14781_187_00020	1115511.PRJDB13.BBMY01000187	CDS	966	1153	2118	+	Yes	Yes	48.3436853002	-	annotation product=biotin protein ligase/biotin operon repressor gene=birA tax_id_proj_id=1115511.PRJDB13 cog=- project_id=PRJDB13 protein_id=GAL56252.1 GI=689831389 
1115511.PRJDB13.EA14781_187_00030	1115511.PRJDB13.BBMY01000187	CDS	951	2147	3097	-	Yes	Yes	45.0052576236	-	annotation product=pantothenate kinase gene=coaA tax_id_proj_id=1115511.PRJDB13 cog=- project_id=PRJDB13 protein_id=GAL56253.1 GI=689831390 
1115511.PRJDB13.EA14781_187_t0010	1115511.PRJDB13.BBMY01000187	tRNA	73	3459	3531	+	Yes	Yes	50.6849315068	tRNA	annotation tax_id_proj_id=1115511.PRJDB13 product=tRNA-Thr project_id=PRJDB13 cog=- 
1115511.PRJDB13.EA14781_187_t0020	1115511.PRJDB13.BBMY01000187	tRNA	82	3543	3624	+	Yes	Yes	58.5365853659	tRNA	annotation tax_id_proj_id=1115511.PRJDB13 product=tRNA-Tyr project_id=PRJDB13 cog=- 
1115511.PRJDB13.EA14781_187_t0030	1115511.PRJDB13.BBMY01000187	tRNA	72	3744	3815	+	Yes	Yes	56.9444444444	tRNA	annotation tax_id_proj_id=1115511.PRJDB13 product=tRNA-Gly project_id=PRJDB13 cog=- 
1115511.PRJDB13.EA14781_187_t0040	1115511.PRJDB13.BBMY01000187	tRNA	73	3825	3897	+	Yes	Yes	53.4246575342	tRNA	annotation tax_id_proj_id=1115511.PRJDB13 product=tRNA-Thr project_id=PRJDB13 cog=- 
1115511.PRJDB13.EA14781_187_00040	1115511.PRJDB13.BBMY01000187	CDS	1185	4015	5199	+	Yes	Yes	53.2489451477	-	annotation product=elongation factor Tu gene=tuf tax_id_proj_id=1115511.PRJDB13 cog=- project_id=PRJDB13 protein_id=GAL56254.1 GI=689831391 
1115511.PRJDB13.EA14781_190_r0010	1115511.PRJDB13.BBMY01000190	rRNA	2408	0	2407	+	Yes	Yes	53.4468438538	rRNA	annotation tax_id_proj_id=1115511.PRJDB13 product=23S ribosomal RNA project_id=PRJDB13 cog=- 
1115511.PRJDB13.EA14781_190_r0020	1115511.PRJDB13.BBMY01000190	rRNA	119	2598	2716	+	Yes	Yes	63.025210084	rRNA	annotation tax_id_proj_id=1115511.PRJDB13 product=5S ribosomal RNA project_id=PRJDB13 cog=- 
1115511.PRJDB13.EA14781_157_00050	1115511.PRJDB13.BBMY01000157	CDS	321	3546	3866	+	Yes	Yes	42.9906542056	-	annotation product=N,N'-diacetylchitobiose-specific phosphotransferase system enzyme IIB component gene=chbB tax_id_proj_id=1115511.PRJDB13 cog=- project_id=PRJDB13 protein_id=GAL56026.1 GI=689831666 
1115511.PRJDB13.EA14781_157_00060	1115511.PRJDB13.BBMY01000157	CDS	1359	3948	5306	+	Yes	Yes	48.1236203091	-	annotation product=N,N'-diacetylchitobiose-specific phosphotransferase system enzyme IIC component gene=chbC tax_id_proj_id=1115511.PRJDB13 cog=- project_id=PRJDB13 protein_id=GAL56027.1 GI=689831667 
1115511.PRJDB13.EA14781_157_00070	1115511.PRJDB13.BBMY01000157	CDS	351	5360	5710	+	Yes	Yes	48.1481481481	-	annotation product=N,N'-diacetylchitobiose-specific phosphotransferase system enzyme IIA component gene=chbA tax_id_proj_id=1115511.PRJDB13 cog=- project_id=PRJDB13 protein_id=GAL56028.1 GI=689831668 
1115511.PRJDB13.EA14781_157_00080	1115511.PRJDB13.BBMY01000157	CDS	168	5721	5888	+	Yes	Yes	40.4761904762	-	annotation product=chb operon transcriptional repressor gene=chbR tax_id_proj_id=1115511.PRJDB13 note=fragment cog=- project_id=PRJDB13 protein_id=GAL56029.1 GI=689831669 
1115511.PRJDB13.EA14781_157_00090	1115511.PRJDB13.BBMY01000157	CDS	654	5907	6560	+	Yes	Yes	40.0611620795	-	annotation product=chb operon transcriptional repressor gene=chbR tax_id_proj_id=1115511.PRJDB13 note=fragment cog=- project_id=PRJDB13 protein_id=GAL56030.1 GI=689831670 
1115511.PRJDB13.EA14781_157_00100	1115511.PRJDB13.BBMY01000157	CDS	1353	6664	8016	+	Yes	Yes	46.0458240946	-	annotation product=6-phospho-beta-glucosidase ChbF gene=chbF tax_id_proj_id=1115511.PRJDB13 cog=- project_id=PRJDB13 protein_id=GAL56031.1 GI=689831671 
1115511.PRJDB13.EA14781_157_00110	1115511.PRJDB13.BBMY01000157	CDS	765	8029	8793	+	Yes	Yes	49.9346405229	-	annotation product=ChbG protein gene=chbG tax_id_proj_id=1115511.PRJDB13 cog=- project_id=PRJDB13 protein_id=GAL56032.1 GI=689831672 
1115511.PRJDB13.EA14781_157_00130	1115511.PRJDB13.BBMY01000157	CDS	243	9059	9301	+	Yes	Yes	53.9094650206	-	annotation product=cell division activator CedA gene=cedA tax_id_proj_id=1115511.PRJDB13 cog=- project_id=PRJDB13 protein_id=GAL56033.1 GI=689831673 
1115511.PRJDB13.EA14781_157_00140	1115511.PRJDB13.BBMY01000157	CDS	393	9464	9859	+	No	No	33.0788804071	-	annotation product=hypothetical protein YdjO gene=ydjO tax_id_proj_id=1115511.PRJDB13 cog=- project_id=PRJDB13 protein_id=GAL56034.1 GI=689831674 
